文件,字节数,页数,SHA256
01_general_2011_friedrich_process_model_generation.pdf,422411,15,D5D8806B15BDB0AA751EA5733C45806D457BC588FDD18627E1E5A0DEA60A85C3
02_general_2021_bellan_process_extraction_benchmark.pdf,550809,36,0FA7570B8A39D3BAF17774CF930DFC1922D94C8F79BEDD92DC05D85E114B65EC
03_general_2022_bellan_pet_dataset.pdf,275027,6,6020300DA13EF47D6C6CA0AA0872783C8BDF9501BB4FDB585E4776CDB806F75F
04_general_2023_neuberger_beyond_rule_based.pdf,909146,18,F3760523EE223808ED606DA4F7F975CB98858174D65DF1EA9A560B26A9A2A3BE
05_general_2024_neuberger_universal_prompting.pdf,829418,18,F3C771089A82DF0235D707AEB052DE7DF146F2B34F203DA8184FE2BA2FDFE063
06_general_2024_carriero_procedural_kg_llm.pdf,589291,19,6E8488A93BE65200379B3FBF5FDFB93B1A3BD0C73B8630BA479CF45E87CDA746
07_general_2023_busch_just_tell_me_bpm_prompting.pdf,281160,8,E90235F5608727579BD9DCCE9291448A864051345821A30D7DB587066A2D47EA
08_general_2024_dagdelen_structured_ie_llm.pdf,2209157,14,06EC2C45959FD0547093FF3776DCC4CD8C38AF73884F637A59BE6C4A756B61E3
11_industry_2020_vaucher_chemical_synthesis_actions.pdf,1021108,11,9DE345ABECD27EF8A2E557391068D0E0F561FBB08698E777BB431E29C0802FC5
14_industry_2021_construction_safety_text_mining.pdf,899011,37,6AA7156252E7772A32CEC3BD27DF4C4C7829813D7C789A7414C150328A5D3386
16_industry_2025_chemactor_llm_generated_data.pdf,4754430,24,2CB2D9F355BDFF340DC3116F9EC30C2331474EF00314C2EBE4EFF02374D160BB
26_medical_2020_cig_covid_rapid_development.pdf,578393,12,7829E5C39C70BB18C4E515B7046A627E745BE587984814A0DF4341B8B12C9340
28_medical_2023_automated_guideline_adherence_monitoring.pdf,1020870,16,8F984984F89820FAAA94ED0E1CD27A31DC822D502CDEAE76B5C1DFABA52F006C
29_medical_2025_llm_clinical_guideline_extraction.pdf,860794,10,BFFC092512393CAD0F12ABD752CC0180A9ED3298E656DE86E5687315B5F51096
31_building_2024_llm_dl_ontology_compliance.pdf,7069423,28,A8C45CD536F35E8E30D8E6E5B54D1A3A4A7C04ED0213E46014D8B9E8372D7AA3
32_building_2023_bim_kg_code_compliance.pdf,2826349,12,365C3571947A26EA40C26C49A9EC86404ADB06C19DDAA1D1A5FD45194C447111
34_building_2019_generalized_adaptive_framework.pdf,1921668,17,5DBCB0166F6B8C8DB6273BDBBE6A9C79714E52D692EA4B104A0D39D548D9C9DD
36_building_2015_rule_based_semantic_compliance.pdf,652963,29,6473FDCB2D60AD169BE463BC3DEC72EE05DBDFCDB86993BEFF670482BDB81127
37_building_2022_construction_safety_ontology_ifc.pdf,977726,15,DDC364145B1F70187D6D4832064FE5259BE39621EEFEECCF34F4FD1C60BA229C
42_legal_2018_semantic_legal_metadata_nlp.pdf,420703,12,E8899B1656A5C2AF40D35EC3B4E0061BBFB116A0E2C5F33205D7914DBF0BD360
43_legal_2020_joint_entity_relation_extraction.pdf,799039,11,AB6EBA98C555C8D313D02063747E701D2CBE47579E7AA10433D2E23A43307741
